A1,20000+,51639
A1200,20000+,82501
A1501,20000+,28746
A6135,20000+,27888
A6770,20000+,104919
A9301,20000+,31222
A12111,20000+,22267
B883,20000+,109066
B884,20000+,38482
B2455,20000+,376018
B4747,20000+,67765
B6295,20000+,86255
D4878,20000+,26073
MP1103/1,20000+,44402
MP1103/2,20000+,42350
